"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/fa2nica/Documents/fd-backend/src/restaurants/restaurants.module.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 2, 28
"/Users/fa2nica/Documents/fd-backend/src/restaurants/restaurants.resolver.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 16, 148
"/Users/fa2nica/Documents/fd-backend/src/restaurants/restaurants.service.ts", "TypeScript", 309, 0, 0, 0, 0, 0, 14, 323
"/Users/fa2nica/Documents/fd-backend/src/users/dtos/create-account.dto.ts", "TypeScript", 11, 0, 0, 0, 0, 7, 4, 22
"/Users/fa2nica/Documents/fd-backend/src/users/dtos/edit-profile.dto.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 3, 12
"/Users/fa2nica/Documents/fd-backend/src/users/dtos/login.dto.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 3, 13
"/Users/fa2nica/Documents/fd-backend/src/users/dtos/user-profile.dto.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 3, 16
"/Users/fa2nica/Documents/fd-backend/src/users/dtos/verify-email.dto.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 2, 9
"/Users/fa2nica/Documents/fd-backend/src/users/entities/user.entity.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 12, 82
"/Users/fa2nica/Documents/fd-backend/src/users/entities/verification.entity.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 4, 24
"/Users/fa2nica/Documents/fd-backend/src/users/user.service.spec.ts", "TypeScript", 118, 0, 0, 0, 0, 2, 13, 133
"/Users/fa2nica/Documents/fd-backend/src/users/users.module.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 2, 14
"/Users/fa2nica/Documents/fd-backend/src/users/users.resolver.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 8, 64
"/Users/fa2nica/Documents/fd-backend/src/users/users.service.ts", "TypeScript", 122, 0, 0, 0, 0, 7, 7, 136
"/Users/fa2nica/Documents/fd-backend/test/app.e2e-spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 5, 25
"/Users/fa2nica/Documents/fd-backend/test/jest-e2e.json", "JSON", 0, 0, 9, 0, 0, 0, 1, 10
"/Users/fa2nica/Documents/fd-backend/tsconfig.build.json", "JSON", 0, 0, 3, 0, 0, 2, 0, 5
"/Users/fa2nica/Documents/fd-backend/tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 1, 22
"Total", "-", 1774, 21, 10429, 25, 11, 55, 248, 12563
